location,pid,date,時間,天氣狀況,最低溫,最高溫,體感最低溫,體感最高溫,降雨機率,蒲福風級
太平山森林遊樂區,F001,01/17,晚上,陰時多雲,7,8,4,7,20%,-
太平山森林遊樂區,F001,01/18,白天,多雲短暫雨,7,14,4,13,70%,-
太平山森林遊樂區,F001,01/18,晚上,多雲短暫雨,6,7,4,6,30%,-
太平山森林遊樂區,F001,01/19,白天,多雲短暫雨,6,14,4,13,50%,-
太平山森林遊樂區,F001,01/19,晚上,陰時多雲有雨,7,8,5,7,70%,-
太平山森林遊樂區,F001,01/20,白天,陰時多雲有雨,5,8,3,8,70%,-
太平山森林遊樂區,F001,01/20,晚上,多雲時陰有雨,4,5,1,3,70%,-
太平山森林遊樂區,F001,01/21,白天,多雲時陰有雨,3,5,0,4,-%,-
太平山森林遊樂區,F001,01/21,晚上,多雲時陰有雨,2,3,-1,0,-%,-
太平山森林遊樂區,F001,01/22,白天,陰短暫雨,2,5,0,3,-%,-
太平山森林遊樂區,F001,01/22,晚上,陰天,2,3,0,0,-%,-
太平山森林遊樂區,F001,01/23,白天,多雲短暫雨,2,8,0,6,-%,-
太平山森林遊樂區,F001,01/23,晚上,多雲短暫雨,3,4,1,2,-%,-
太平山森林遊樂區,F001,01/24,白天,多雲時陰短暫雨,3,9,1,8,-%,-
太平山森林遊樂區,F001,01/24,晚上,陰時多雲短暫雨,3,4,1,3,-%,-
小風口停車場,F002,01/17,晚上,多雲,3,4,0,1,20%,-
小風口停車場,F002,01/18,白天,晴時多雲,3,9,0,8,20%,-
小風口停車場,F002,01/18,晚上,晴時多雲,2,3,-1,1,20%,-
小風口停車場,F002,01/19,白天,晴時多雲,2,9,-1,8,20%,-
小風口停車場,F002,01/19,晚上,多雲時陰,2,3,-1,1,20%,-
小風口停車場,F002,01/20,白天,多雲時晴,2,8,-2,7,20%,-
小風口停車場,F002,01/20,晚上,晴時多雲,1,2,-3,-1,20%,-
小風口停車場,F002,01/21,白天,晴時多雲,1,5,-3,2,-%,-
小風口停車場,F002,01/21,晚上,晴時多雲,0,1,-4,-3,-%,-
小風口停車場,F002,01/22,白天,多雲短暫雨或雪,0,4,-4,0,-%,-
小風口停車場,F002,01/22,晚上,多雲短暫雨或雪,0,1,-3,-3,-%,-
小風口停車場,F002,01/23,白天,多雲,0,5,-3,2,-%,-
小風口停車場,F002,01/23,晚上,多雲,0,1,-4,-3,-%,-
小風口停車場,F002,01/24,白天,多雲時晴,0,6,-4,3,-%,-
小風口停車場,F002,01/24,晚上,晴時多雲,0,1,-4,-3,-%,-
鳶峰停車場,F003,01/17,晚上,多雲時晴,6,8,5,7,20%,-
鳶峰停車場,F003,01/18,白天,晴時多雲,6,13,5,12,20%,-
鳶峰停車場,F003,01/18,晚上,晴時多雲,5,7,3,6,10%,-
鳶峰停車場,F003,01/19,白天,晴時多雲,5,13,3,12,10%,-
鳶峰停車場,F003,01/19,晚上,多雲時晴,5,8,3,6,10%,-
鳶峰停車場,F003,01/20,白天,多雲時晴,5,12,3,11,10%,-
鳶峰停車場,F003,01/20,晚上,多雲短暫雨,4,6,2,4,30%,-
鳶峰停車場,F003,01/21,白天,晴時多雲,4,8,2,6,-%,-
鳶峰停車場,F003,01/21,晚上,晴時多雲,3,5,1,3,-%,-
鳶峰停車場,F003,01/22,白天,多雲短暫雨,3,7,1,5,-%,-
鳶峰停車場,F003,01/22,晚上,多雲短暫雨,4,4,2,3,-%,-
鳶峰停車場,F003,01/23,白天,多雲時晴,4,8,2,6,-%,-
鳶峰停車場,F003,01/23,晚上,多雲,3,4,1,2,-%,-
鳶峰停車場,F003,01/24,白天,晴時多雲,3,9,1,7,-%,-
鳶峰停車場,F003,01/24,晚上,晴時多雲,3,5,1,3,-%,-
台大梅峰實驗農場,F004,01/17,晚上,多雲時晴,8,10,7,9,20%,-
台大梅峰實驗農場,F004,01/18,白天,晴時多雲,8,16,7,15,20%,-
台大梅峰實驗農場,F004,01/18,晚上,晴時多雲,7,9,4,8,10%,-
台大梅峰實驗農場,F004,01/19,白天,晴時多雲,7,16,4,15,10%,-
台大梅峰實驗農場,F004,01/19,晚上,晴時多雲,7,9,5,9,10%,-
台大梅峰實驗農場,F004,01/20,白天,晴時多雲,7,15,5,14,10%,-
台大梅峰實驗農場,F004,01/20,晚上,晴時多雲,6,8,4,7,10%,-
台大梅峰實驗農場,F004,01/21,白天,晴時多雲,6,11,4,10,-%,-
台大梅峰實驗農場,F004,01/21,晚上,晴時多雲,5,7,3,5,-%,-
台大梅峰實驗農場,F004,01/22,白天,多雲短暫雨,5,10,3,9,-%,-
台大梅峰實驗農場,F004,01/22,晚上,多雲短暫雨,5,6,3,5,-%,-
台大梅峰實驗農場,F004,01/23,白天,多雲,5,11,3,10,-%,-
台大梅峰實驗農場,F004,01/23,晚上,多雲時晴,5,6,3,5,-%,-
台大梅峰實驗農場,F004,01/24,白天,晴時多雲,5,12,2,11,-%,-
台大梅峰實驗農場,F004,01/24,晚上,晴時多雲,5,7,3,5,-%,-
墾丁貓鼻頭,F005,01/17,晚上,晴時多雲,20,22,18,20,0%,-
墾丁貓鼻頭,F005,01/18,白天,晴時多雲,20,25,17,23,10%,-
墾丁貓鼻頭,F005,01/18,晚上,晴時多雲,20,22,18,20,0%,-
墾丁貓鼻頭,F005,01/19,白天,晴時多雲,20,25,18,24,0%,-
墾丁貓鼻頭,F005,01/19,晚上,晴時多雲,20,22,18,21,0%,-
墾丁貓鼻頭,F005,01/20,白天,晴時多雲,20,25,17,23,10%,-
墾丁貓鼻頭,F005,01/20,晚上,晴時多雲,18,21,13,17,0%,-
墾丁貓鼻頭,F005,01/21,白天,晴時多雲,18,21,13,16,-%,-
墾丁貓鼻頭,F005,01/21,晚上,晴時多雲,17,19,11,13,-%,-
墾丁貓鼻頭,F005,01/22,白天,晴時多雲,17,20,11,16,-%,-
墾丁貓鼻頭,F005,01/22,晚上,晴時多雲,17,18,13,13,-%,-
墾丁貓鼻頭,F005,01/23,白天,晴時多雲,17,21,13,19,-%,-
墾丁貓鼻頭,F005,01/23,晚上,多雲短暫雨,17,19,14,16,-%,-
墾丁貓鼻頭,F005,01/24,白天,多雲短暫雨,17,22,14,18,-%,-
墾丁貓鼻頭,F005,01/24,晚上,多雲短暫雨,18,20,14,16,-%,-
墾丁龍磐公園,F006,01/17,晚上,多雲,21,22,16,19,10%,-
墾丁龍磐公園,F006,01/18,白天,晴時多雲,21,25,16,21,20%,-
墾丁龍磐公園,F006,01/18,晚上,多雲時晴,21,22,16,19,10%,-
墾丁龍磐公園,F006,01/19,白天,晴時多雲,21,25,16,21,20%,-
墾丁龍磐公園,F006,01/19,晚上,晴時多雲,20,22,16,18,20%,-
墾丁龍磐公園,F006,01/20,白天,多雲短暫雨,20,24,16,21,30%,-
墾丁龍磐公園,F006,01/20,晚上,多雲短暫雨,19,21,13,16,40%,-
墾丁龍磐公園,F006,01/21,白天,多雲短暫雨,19,21,13,16,-%,-
墾丁龍磐公園,F006,01/21,晚上,多雲短暫雨,17,19,12,13,-%,-
墾丁龍磐公園,F006,01/22,白天,多雲短暫雨,17,20,12,15,-%,-
墾丁龍磐公園,F006,01/22,晚上,多雲短暫雨,17,18,12,13,-%,-
墾丁龍磐公園,F006,01/23,白天,多雲短暫雨,17,21,12,18,-%,-
墾丁龍磐公園,F006,01/23,晚上,多雲短暫雨,18,19,14,16,-%,-
墾丁龍磐公園,F006,01/24,白天,多雲短暫雨,18,22,14,18,-%,-
墾丁龍磐公園,F006,01/24,晚上,多雲短暫雨,19,20,14,16,-%,-
高雄梅山青年活動中心,F007,01/17,晚上,多雲,14,17,14,17,20%,-
高雄梅山青年活動中心,F007,01/18,白天,晴時多雲,14,23,14,24,20%,-
高雄梅山青年活動中心,F007,01/18,晚上,晴時多雲,13,16,12,17,20%,-
